timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763974039603,16181,Get Property Details,200,OK,100 Concurrent Users 1-9,text,true,,1807,296,100,100,http://localhost:3002/api/properties/15,16181,0,0
1763974034866,20919,User Login,200,OK,100 Concurrent Users 1-47,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,20919,0,1
1763974040808,15004,Get Property Details,200,OK,100 Concurrent Users 1-17,text,true,,1788,298,100,100,http://localhost:3002/api/properties/10,15004,0,0
1763974035267,20545,User Login,200,OK,100 Concurrent Users 1-51,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,20545,0,1
1763974035068,20744,User Login,200,OK,100 Concurrent Users 1-49,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,20744,0,1
1763974034972,20841,User Login,200,OK,100 Concurrent Users 1-48,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,20841,0,1
1763974040907,14907,Get Property Details,200,OK,100 Concurrent Users 1-16,text,true,,1923,301,100,100,http://localhost:3002/api/properties/1,14907,0,0
1763974041016,14808,Get Property Details,200,OK,100 Concurrent Users 1-5,text,true,,1790,297,100,100,http://localhost:3002/api/properties/3,14808,0,0
1763974035362,20465,User Login,200,OK,100 Concurrent Users 1-52,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,20465,0,1
1763974035167,20660,User Login,200,OK,100 Concurrent Users 1-50,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,20660,0,1
1763974035468,20360,User Login,200,OK,100 Concurrent Users 1-53,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,20360,0,0
1763974035570,20481,User Login,200,OK,100 Concurrent Users 1-54,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,20481,0,1
1763974035669,20383,User Login,200,OK,100 Concurrent Users 1-55,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,20383,0,1
1763974042340,13715,Get Property Details,200,OK,100 Concurrent Users 1-18,text,true,,1919,297,100,100,http://localhost:3002/api/properties/1,13715,0,0
1763974035767,20288,User Login,200,OK,100 Concurrent Users 1-56,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,20288,0,1
1763974042138,13921,Get Property Details,200,OK,100 Concurrent Users 1-14,text,true,,1785,298,100,100,http://localhost:3002/api/properties/14,13921,0,0
1763974035866,20195,User Login,200,OK,100 Concurrent Users 1-57,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,20195,0,1
1763974035971,20093,User Login,200,OK,100 Concurrent Users 1-58,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,20093,0,1
1763974032572,23498,User Login,200,OK,100 Concurrent Users 1-24,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,23498,0,1
1763974036166,19945,User Login,200,OK,100 Concurrent Users 1-60,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,19945,0,1
1763974036567,19544,User Login,200,OK,100 Concurrent Users 1-64,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,19544,0,1
1763974036768,19384,User Login,200,OK,100 Concurrent Users 1-66,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,19383,0,1
1763974033367,22788,User Login,200,OK,100 Concurrent Users 1-32,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,22788,0,1
1763974036269,19893,User Login,200,OK,100 Concurrent Users 1-61,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,19893,0,1
1763974045341,10841,Get Property Details,200,OK,100 Concurrent Users 1-20,text,true,,1794,300,100,100,http://localhost:3002/api/properties/17,10841,0,0
1763974045243,10950,Get Property Details,200,OK,100 Concurrent Users 1-19,text,true,,1797,298,100,100,http://localhost:3002/api/properties/11,10950,0,0
1763974045447,10751,Get Property Details,200,OK,100 Concurrent Users 1-23,text,true,,1792,305,100,100,http://localhost:3002/api/properties/8,10751,0,0
1763974037470,18733,User Login,200,OK,100 Concurrent Users 1-73,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,18733,0,1
1763974036466,19739,User Login,200,OK,100 Concurrent Users 1-63,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,19739,0,1
1763974036866,19340,User Login,200,OK,100 Concurrent Users 1-67,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,19340,0,2
1763974036367,19839,User Login,200,OK,100 Concurrent Users 1-62,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,19839,0,1
1763974047207,9000,Get Property Details,200,OK,100 Concurrent Users 1-22,text,true,,1792,301,100,100,http://localhost:3002/api/properties/7,9000,0,0
1763974036970,19238,User Login,200,OK,100 Concurrent Users 1-68,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,19238,0,1
1763974037066,19147,User Login,200,OK,100 Concurrent Users 1-69,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,19147,0,1
1763974037278,18972,Get Property Details,200,OK,100 Concurrent Users 1-2,text,true,,1847,301,100,100,http://localhost:3002/api/properties/2,18972,0,0
1763974048051,8199,Get Property Details,200,OK,100 Concurrent Users 1-25,text,true,,1802,302,100,100,http://localhost:3002/api/properties/19,8199,0,0
1763974049438,6813,Get Property Details,200,OK,100 Concurrent Users 1-26,text,true,,1785,296,100,100,http://localhost:3002/api/properties/16,6813,0,0
1763974037165,19087,User Login,200,OK,100 Concurrent Users 1-70,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,19087,0,0
1763974037267,18985,User Login,200,OK,100 Concurrent Users 1-71,text,true,,1391,288,100,100,http://localhost:3002/api/auth/login,18985,0,0
1763974037863,18391,User Login,200,OK,100 Concurrent Users 1-77,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,18391,0,1
1763974049438,6817,Get Property Details,200,OK,100 Concurrent Users 1-27,text,true,,1805,295,100,100,http://localhost:3002/api/properties/4,6817,0,0
1763974049541,6715,Get Property Details,200,OK,100 Concurrent Users 1-28,text,true,,1782,298,100,100,http://localhost:3002/api/properties/18,6715,0,0
1763974037367,18890,User Login,200,OK,100 Concurrent Users 1-72,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,18890,0,1
1763974037567,18692,User Login,200,OK,100 Concurrent Users 1-74,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,18692,0,1
1763974038066,18194,User Login,200,OK,100 Concurrent Users 1-79,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,18194,0,1
1763974034472,21808,User Login,200,OK,100 Concurrent Users 1-43,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,21808,0,1
1763974050055,6239,Get Property Details,200,OK,100 Concurrent Users 1-29,text,true,,1788,297,100,100,http://localhost:3002/api/properties/7,6238,0,0
1763974037667,18627,User Login,200,OK,100 Concurrent Users 1-75,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,18627,0,1
1763974037967,18337,User Login,200,OK,100 Concurrent Users 1-78,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,18337,0,1
1763974033767,22538,User Login,200,OK,100 Concurrent Users 1-36,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,22538,0,1
1763974037771,18536,User Login,200,OK,100 Concurrent Users 1-76,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,18536,0,1
1763974056431,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-42,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974056431,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-41,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974056432,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-21,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974051995,4442,Get Property Details,200,OK,100 Concurrent Users 1-30,text,true,,1792,304,100,100,http://localhost:3002/api/properties/20,4442,0,0
1763974038567,17873,User Login,200,OK,100 Concurrent Users 1-84,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,17873,0,1
1763974038766,17676,User Login,200,OK,100 Concurrent Users 1-86,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,17676,0,1
1763974038467,17975,User Login,200,OK,100 Concurrent Users 1-83,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,17975,0,1
1763974038271,18172,User Login,200,OK,100 Concurrent Users 1-81,text,true,,1391,288,100,100,http://localhost:3002/api/auth/login,18172,0,1
1763974038669,17775,User Login,200,OK,100 Concurrent Users 1-85,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,17775,0,1
1763974038367,18079,User Login,200,OK,100 Concurrent Users 1-82,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,18079,0,1
1763974052412,4062,Get Property Details,200,OK,100 Concurrent Users 1-15,text,true,,1786,302,100,100,http://localhost:3002/api/properties/18,4062,0,0
1763974039168,17325,User Login,200,OK,100 Concurrent Users 1-90,text,true,,1383,288,100,100,http://localhost:3002/api/auth/login,17325,0,1
